PLAYER_NAME,TEAM_ABBREVIATION,PLAYER_ID,AVG_DIST_DEF_OFF_RATIO,AVG_DIST_MILES_DEF_MIN,ContestedDREB%,DREBChances,AVGDREBDistance,DFGA,cluster
AJ Green,MIL,1631260,0.8383333333333333,0.0362914862914862,11.3,4.0,8.2,1.9,4
AJ Johnson,WAS,1642358,0.86,0.0375545851528384,17.4,3.9,7.5,2.0,3
Aaron Gordon,DEN,203932,0.9125560538116592,0.0343170320404721,27.3,5.0,6.6,2.9,0
Aaron Holiday,HOU,1628988,0.8988326848249029,0.0357032457496136,17.3,2.6,8.6,1.0,4
Aaron Nesmith,IND,1630174,0.9878419452887538,0.0397310513447432,18.4,6.2,7.2,2.6,3
Aaron Wiggins,OKC,1630598,0.8798842257597685,0.038849840255591,27.0,5.1,6.4,2.6,0
Adam Flagler,OKC,1641745,0.8333333333333334,0.0338345864661654,9.1,1.7,10.8,0.3,4
Adem Bona,PHI,1641737,0.8962655601659751,0.0369230769230769,27.4,5.2,4.5,2.8,0
Ajay Mitchell,OKC,1642349,0.8897959183673471,0.0388591800356506,22.0,2.6,9.4,1.1,3
Al Horford,BOS,201143,0.8940520446096655,0.0325439783491204,27.9,7.2,6.6,3.5,1
Alec Burks,MIA,202692,0.8888888888888888,0.0349397590361445,24.1,4.6,6.4,1.3,0
Alex Caruso,OKC,1627936,0.9118457300275484,0.0380459770114942,32.3,4.3,8.8,1.7,3
Alex Ducas,OKC,1642505,0.7857142857142856,0.0343749999999999,38.5,2.3,8.2,0.4,4
Alex Len,LAL,203458,0.8933333333333334,0.0372222222222222,38.9,2.8,4.8,1.5,0
Alex Sarr,WAS,1642259,0.8925619834710743,0.0372157133011716,31.3,8.6,5.1,8.5,2
Alperen Sengun,HOU,1630578,0.9118773946360154,0.0337908187411263,29.4,11.6,4.5,7.0,2
Amen Thompson,HOU,1641708,0.894607843137255,0.0367758186397984,20.7,8.5,6.2,3.1,0
Amir Coffey,LAC,1629599,0.9483870967741936,0.0349583828775267,19.5,3.6,7.8,1.7,3
Andre Drummond,PHI,203083,0.9422382671480144,0.0347536617842876,37.3,7.5,4.3,3.3,0
Andre Jackson Jr.,MIL,1641748,0.9099756690997566,0.0408743169398907,21.6,3.3,7.1,1.3,3
Andrew Nembhard,IND,1629614,0.9807383627608348,0.0398305084745762,10.0,5.0,8.3,2.2,3
Andrew Wiggins,MIA,203952,0.8683812405446294,0.0344951923076923,29.8,5.6,6.7,2.7,0
Anfernee Simons,POR,1629014,0.8432671081677705,0.0348858447488584,16.4,4.6,9.6,2.4,4
Anthony Black,ORL,1641710,0.8851132686084143,0.034796437659033,12.7,3.9,7.5,2.1,4
Anthony Davis,DAL,203076,0.9013539651837524,0.0317006802721088,36.7,14.0,4.6,6.2,2
Anthony Edwards,MIN,1630162,0.8053278688524589,0.031377245508982,20.2,7.5,7.2,2.6,1
Anthony Gill,WAS,1630264,0.8923076923076924,0.0370607028753993,22.2,3.0,7.5,0.4,3
Antonio Reeves,NOP,1641810,0.8958333333333333,0.0362359550561797,22.7,2.5,7.7,0.8,3
Ariel Hukporti,NYK,1630574,0.901098901098901,0.0377880184331797,29.7,3.0,4.4,2.4,0
Ausar Thompson,DET,1641709,0.961995249406176,0.0386450381679389,26.8,4.8,6.5,1.5,3
Austin Reaves,LAL,1630559,0.7928653624856158,0.0327005220692928,17.9,6.8,9.7,3.2,1
Ayo Dosunmu,CHI,1630245,0.8952879581151831,0.0368005738880918,12.6,4.9,9.5,2.6,3
Bam Adebayo,MIA,1628389,0.8906789413118528,0.0330627936779154,30.2,11.3,5.7,4.3,2
Baylor Scheierman,BOS,1631248,0.857142857142857,0.0345549738219895,20.0,2.6,6.8,0.8,4
Ben Sheppard,IND,1641767,0.9705882352941178,0.0417721518987341,21.0,3.9,7.8,1.3,3
Ben Simmons,LAC,1627732,0.845360824742268,0.0326693227091633,20.3,6.1,6.6,1.9,1
Bennedict Mathurin,IND,1631097,0.9400798934753662,0.0371578947368421,15.8,6.9,7.7,3.6,3
Bilal Coulibaly,WAS,1641731,0.903061224489796,0.0370292887029288,22.9,5.8,7.5,3.2,0
Bismack Biyombo,SAS,202687,0.9112903225806452,0.035759493670886,31.7,6.9,5.3,4.1,0
Blake Wesley,SAS,1631104,0.941798941798942,0.039821029082774,14.3,1.9,7.2,0.4,3
Bobby Portis,MIL,1626171,0.8865096359743041,0.0356896551724137,20.3,9.7,4.9,3.7,2
Bogdan Bogdanović,LAC,203992,0.8456521739130436,0.0355575868372943,17.1,4.9,7.6,2.4,1
Bol Bol,PHX,1629626,0.8715083798882682,0.0366197183098591,21.7,4.2,5.8,1.4,0
Bones Hyland,MIN,1630538,0.8295454545454545,0.0333333333333333,5.9,1.6,11.4,0.7,4
Bradley Beal,PHX,203078,0.8562197092084007,0.0343042071197411,18.3,4.9,7.9,3.0,1
Branden Carlson,OKC,1642382,0.8360655737704918,0.0366906474820143,32.0,3.5,5.3,1.3,0
Brandin Podziemski,GSW,1641764,0.8344370860927153,0.0367883211678832,18.4,6.2,6.2,1.8,1
Brandon Boston,NOP,1630527,0.9093198992443324,0.0363544813695871,16.0,3.9,7.3,1.9,3
Brandon Clarke,MEM,1629634,0.9226190476190476,0.0385252692626346,25.0,6.2,5.7,2.8,0
Brandon Ingram,TOR,1627742,0.7750000000000001,0.0312605042016806,27.7,7.3,6.5,3.5,1
Brandon Miller,CHA,1641706,0.7835051546391752,0.0329004329004329,13.2,6.7,7.5,3.6,1
Brandon Williams,DAL,1630314,0.8917197452229298,0.0380434782608695,22.2,3.6,8.6,1.7,3
Brice Sensabaugh,UTA,1641729,0.8807947019867549,0.0348776223776223,16.7,3.9,8.4,1.4,4
