PLAYER_NAME,TEAM_ABBREVIATION,PLAYER_ID,AVG_DIST_DEF_OFF_RATIO,AVG_DIST_MILES_DEF_MIN,ContestedDREB%,DREBChances,AVGDREBDistance,DFGA,cluster
Alex Sarr,WAS,1642259,0.8925619834710743,0.0372157133011716,31.3,8.6,5.1,8.5,2
Alperen Sengun,HOU,1630578,0.9118773946360154,0.0337908187411263,29.4,11.6,4.5,7.0,2
Anthony Davis,DAL,203076,0.9013539651837524,0.0317006802721088,36.7,14.0,4.6,6.2,2
Bam Adebayo,MIA,1628389,0.8906789413118528,0.0330627936779154,30.2,11.3,5.7,4.3,2
Bobby Portis,MIL,1626171,0.8865096359743041,0.0356896551724137,20.3,9.7,4.9,3.7,2
Brook Lopez,MIL,201572,0.926261319534282,0.0330410706045223,38.6,7.4,5.6,7.1,2
Chet Holmgren,OKC,1631096,0.88715953307393,0.035130970724191,32.7,11.4,4.5,6.5,2
Clint Capela,ATL,203991,0.9174107142857144,0.0354310344827586,37.2,8.2,5.1,3.8,2
Daniel Gafford,DAL,1629655,0.9265033407572384,0.0373094170403587,39.8,8.8,4.1,6.0,2
Deandre Ayton,POR,1629028,0.8922018348623851,0.0322553897180762,30.1,10.5,4.9,3.6,2
Deni Avdija,POR,1630166,0.8874514877102199,0.0352880658436213,20.9,9.3,4.8,3.8,2
Dereck Lively II,DAL,1641726,0.9411764705882352,0.0375,28.9,9.1,4.5,5.3,2
Domantas Sabonis,SAC,1627734,0.9235751295336788,0.0360647445624683,25.6,16.0,4.0,6.4,2
Donovan Clingan,POR,1642270,0.9146341463414634,0.03585086042065,36.7,7.5,4.5,4.0,2
Draymond Green,GSW,203110,0.869281045751634,0.0325183374083129,28.1,8.5,5.4,3.8,2
Evan Mobley,CLE,1630596,0.8947368421052632,0.0357894736842105,33.8,11.3,4.7,6.0,2
Giannis Antetokounmpo,MIL,203507,0.8337765957446809,0.0324534161490683,23.6,13.6,4.8,3.8,2
Goga Bitadze,ORL,1629048,0.8701825557809331,0.0341288782816229,35.1,7.6,4.4,4.0,2
Grant Williams,CHA,1629684,0.8351648351648352,0.031732776617954,37.5,8.1,4.8,5.1,2
Guerschon Yabusele,PHI,1627824,0.8708272859216255,0.0345423143350604,27.9,7.7,5.6,5.0,2
Isaiah Hartenstein,OKC,1628392,0.8944636678200693,0.0372210223182145,33.8,12.6,5.1,5.2,2
Isaiah Stewart,DET,1630191,0.9112903225806452,0.0351750972762646,26.6,7.0,5.1,4.3,2
Ivica Zubac,LAC,1627826,0.8931572629051621,0.0329933481152993,34.3,14.0,4.6,6.8,2
Jabari Smith Jr.,HOU,1631095,0.8962585034013606,0.0353454057679409,24.0,7.9,5.1,4.1,2
Jakob Poeltl,TOR,1627751,0.9423076923076924,0.0378135048231511,39.1,10.8,4.8,6.2,2
Jalen Duren,DET,1631105,0.9416909620991254,0.0366213151927437,26.5,11.1,4.0,5.1,2
Jalen Johnson,ATL,1630552,0.8838951310861423,0.0367601246105919,22.6,12.3,4.9,4.9,2
Jaren Jackson Jr.,MEM,1628991,0.9,0.0347803070407623,31.2,8.2,6.4,4.7,2
Jarrett Allen,CLE,1628386,0.9383033419023136,0.0359783144406111,28.5,11.2,4.7,5.8,2
Joel Embiid,PHI,203954,0.9414893617021276,0.0308362369337979,32.8,10.8,5.6,5.2,2
John Collins,UTA,1628381,0.8253968253968254,0.0348408710217755,28.4,9.4,4.9,3.7,2
Jonas Valančiūnas,SAC,202685,0.887832699619772,0.0337916063675832,28.7,8.8,3.9,3.9,2
Josh Hart,NYK,1628404,0.8195266272189348,0.032858837485172,26.3,12.0,5.9,4.8,2
Julius Randle,MIN,203944,0.8787878787878789,0.0336497890295358,23.8,8.6,5.6,3.6,2
Jusuf Nurkić,CHA,203994,0.829971181556196,0.0335273573923166,28.8,9.7,4.4,4.3,2
Karl-Anthony Towns,NYK,1626157,0.9244558258642768,0.0327437641723356,32.1,14.4,4.7,6.0,2
Kel'el Ware,MIA,1642276,0.9019138755980864,0.0342105263157894,33.2,9.2,4.2,4.6,2
Kristaps Porziņģis,BOS,204001,0.863013698630137,0.0311572700296735,34.4,9.3,5.1,6.7,2
Mark Williams,CHA,1631109,0.8796791443850267,0.0342708333333333,31.1,10.5,4.9,5.8,2
Mason Plumlee,PHX,203486,0.775925925925926,0.0347717842323651,36.1,7.7,4.2,3.8,2
Michael Porter Jr.,DEN,1629008,0.9662243667068756,0.0345258620689655,21.7,8.3,5.5,3.5,2
Miles Bridges,CHA,1628970,0.8402777777777779,0.0341422121896162,28.8,10.2,5.4,3.3,2
Myles Turner,IND,1626167,0.9331476323119778,0.0358672376873661,41.8,10.9,4.8,7.5,2
Naz Reid,MIN,1629675,0.9025974025974024,0.0350302419354838,31.1,8.5,5.3,4.0,2
Nic Claxton,BKN,1629651,0.873323397913562,0.0351108448172558,33.5,8.9,3.8,5.1,2
Nick Richards,PHX,1630208,0.831168831168831,0.0356545961002785,31.6,10.0,4.3,5.9,2
Nikola Jokić,DEN,203999,0.8571428571428571,0.0312859036676977,36.6,15.3,4.5,6.9,2
Nikola Vučević,CHI,202696,0.9459084604715674,0.0342026078234704,31.5,11.5,5.0,6.4,2
Onyeka Okongwu,ATL,1630168,0.9401840490797544,0.0362936648904677,28.7,8.7,4.9,4.7,2
P.J. Washington,DAL,1629023,0.8804347826086957,0.0349353049907578,30.3,10.2,5.7,4.6,2
Pascal Siakam,IND,1627783,0.9187643020594966,0.0358162355040142,22.7,8.5,6.4,4.1,2
Rudy Gobert,MIN,203497,0.9003783102143758,0.0352592592592592,23.7,11.5,4.0,5.7,2
Scottie Barnes,TOR,1630567,0.8994708994708994,0.0365984930032292,20.5,9.6,6.1,4.8,2
Victor Wembanyama,SAS,1641705,0.909246575342466,0.0347740667976424,32.5,14.2,4.5,8.1,2
Walker Kessler,UTA,1631117,0.8706766917293234,0.0355869698832206,33.4,12.7,4.5,7.4,2
Wendell Carter Jr.,ORL,1628976,0.90625,0.0335374149659863,33.6,8.8,5.1,3.9,2
Yves Missi,NOP,1642274,0.9104046242774564,0.0360618202633085,29.0,9.1,4.5,6.4,2
Zach Edey,MEM,1641744,0.922737306843267,0.0361904761904761,30.1,7.3,5.2,4.4,2
