,PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_ABBREVIATION,GP,W,L,MIN,DIST_FEET,DIST_MILES,DIST_MILES_OFF,DIST_MILES_DEF,AVG_SPEED,AVG_SPEED_OFF,AVG_SPEED_DEF,AVG_DIST_MILES_DEF,AVG_DIST_MILES_OFF,AVG_DIST_DEF_OFF_RATIO,AVG_DIST_MILES_DEF_MIN,AVG_DIST_MILES_OFF_MIN,AVG_MIN
0,1630639,A.J. Lawson,1610612761,TOR,14,8,6,244.0,110033,20.8,10.9,10.0,4.71,5.02,4.45,0.7142857142857143,0.7785714285714286,0.9174311926605505,0.040983606557377046,0.04467213114754098,17.428571428571427
1,1631260,AJ Green,1610612749,MIL,62,37,25,1386.0,582618,110.3,60.0,50.3,4.47,4.86,4.08,0.8112903225806452,0.967741935483871,0.8383333333333333,0.03629148629148629,0.04329004329004329,22.35483870967742
2,1642358,AJ Johnson,1610612764,WAS,17,5,12,229.0,98271,18.6,10.0,8.6,4.51,4.94,4.1,0.5058823529411764,0.5882352941176471,0.86,0.037554585152838424,0.043668122270742356,13.470588235294118
3,203932,Aaron Gordon,1610612743,DEN,43,28,15,1186.0,449961,85.2,44.6,40.7,4.03,4.31,3.77,0.9465116279069768,1.0372093023255815,0.9125560538116592,0.03431703204047218,0.037605396290050594,27.58139534883721
4,1628988,Aaron Holiday,1610612745,HOU,52,32,20,647.0,257735,48.8,25.7,23.1,4.18,4.39,3.97,0.44423076923076926,0.4942307692307692,0.8988326848249029,0.0357032457496136,0.03972179289026275,12.442307692307692
5,1630174,Aaron Nesmith,1610612754,IND,33,20,13,818.0,345524,65.4,32.9,32.5,4.45,4.77,4.17,0.9848484848484849,0.996969696969697,0.9878419452887538,0.03973105134474328,0.0402200488997555,24.78787878787879
6,1630598,Aaron Wiggins,1610612760,OKC,69,57,12,1565.0,685732,129.9,69.1,60.8,4.65,5.06,4.26,0.881159420289855,1.0014492753623188,0.8798842257597685,0.03884984025559105,0.044153354632587856,22.681159420289855
7,1641745,Adam Flagler,1610612760,OKC,28,25,3,133.0,52090,9.9,5.4,4.5,4.16,4.22,4.09,0.16071428571428573,0.19285714285714287,0.8333333333333334,0.03383458646616541,0.0406015037593985,4.75
8,1641766,Adama Sanogo,1610612741,CHI,4,2,2,21.0,8752,1.7,0.9,0.8,4.41,4.67,4.16,0.2,0.225,0.888888888888889,0.0380952380952381,0.04285714285714286,5.25
9,1641737,Adem Bona,1610612755,PHI,47,11,36,585.0,241537,45.7,24.1,21.6,4.32,4.48,4.15,0.45957446808510644,0.5127659574468085,0.8962655601659751,0.036923076923076927,0.0411965811965812,12.446808510638299
10,1642349,Ajay Mitchell,1610612760,OKC,34,29,5,561.0,244283,46.3,24.5,21.8,4.61,4.95,4.27,0.6411764705882353,0.7205882352941176,0.8897959183673471,0.03885918003565063,0.04367201426024955,16.5
11,201143,Al Horford,1610612738,BOS,54,38,16,1478.0,538303,102.0,53.8,48.1,3.97,4.03,3.89,0.8907407407407407,0.9962962962962962,0.8940520446096655,0.032543978349120435,0.036400541271989176,27.37037037037037
12,202692,Alec Burks,1610612748,MIA,39,19,20,664.0,260790,49.4,26.1,23.2,4.16,4.3,3.99,0.5948717948717949,0.6692307692307693,0.8888888888888888,0.034939759036144574,0.03930722891566265,17.025641025641026
13,1627936,Alex Caruso,1610612760,OKC,45,37,8,870.0,366345,69.4,36.3,33.1,4.42,4.75,4.1,0.7355555555555556,0.8066666666666666,0.9118457300275483,0.03804597701149425,0.04172413793103448,19.333333333333332
14,1642505,Alex Ducas,1610612760,OKC,19,18,1,96.0,39769,7.5,4.2,3.3,4.31,4.44,4.16,0.17368421052631577,0.2210526315789474,0.7857142857142856,0.034374999999999996,0.043750000000000004,5.052631578947368
15,203458,Alex Len,1610612747,LAL,44,20,24,360.0,149809,28.4,15.0,13.4,4.42,4.66,4.18,0.30454545454545456,0.3409090909090909,0.8933333333333334,0.037222222222222226,0.041666666666666664,8.181818181818182
16,1642024,Alex Reese,1610612755,PHI,11,3,8,162.0,69302,13.1,6.9,6.3,4.52,4.87,4.24,0.5727272727272728,0.6272727272727273,0.9130434782608695,0.03888888888888889,0.04259259259259259,14.727272727272727
17,1642259,Alex Sarr,1610612764,WAS,54,9,45,1451.0,604626,114.5,60.5,54.0,4.44,4.82,4.08,1.0,1.1203703703703705,0.8925619834710743,0.037215713301171606,0.04169538249483115,26.87037037037037
18,1631214,Alondes Williams,1610612765,DET,1,0,1,4.0,1488,0.3,0.1,0.2,4.27,4.01,4.41,0.2,0.1,2.0,0.05,0.025,4.0
19,1630578,Alperen Sengun,1610612745,HOU,67,45,22,2113.0,789989,149.6,78.3,71.4,3.97,4.07,3.87,1.0656716417910448,1.1686567164179105,0.9118773946360154,0.03379081874112636,0.03705631803123521,31.53731343283582
20,1641708,Amen Thompson,1610612745,HOU,61,37,24,1985.0,816313,154.6,81.6,73.0,4.34,4.56,4.12,1.1967213114754098,1.3377049180327867,0.894607843137255,0.03677581863979849,0.041108312342569266,32.540983606557376
21,1629599,Amir Coffey,1610612746,LAC,68,39,29,1682.0,637922,120.8,62.0,58.8,4.0,4.03,3.97,0.8647058823529411,0.9117647058823529,0.9483870967741935,0.03495838287752675,0.036860879904875146,24.735294117647058
22,203083,Andre Drummond,1610612755,PHI,40,12,28,751.0,283934,53.8,27.7,26.1,4.02,4.06,3.99,0.6525000000000001,0.6925,0.9422382671480145,0.03475366178428762,0.03688415446071904,18.775
23,1641748,Andre Jackson Jr.,1610612749,MIL,60,34,26,915.0,414336,78.5,41.1,37.4,4.85,5.02,4.68,0.6233333333333333,0.685,0.9099756690997566,0.04087431693989071,0.04491803278688525,15.25
24,1629614,Andrew Nembhard,1610612754,IND,53,35,18,1534.0,651424,123.4,62.3,61.1,4.5,4.7,4.31,1.1528301886792454,1.1754716981132074,0.9807383627608348,0.039830508474576275,0.04061277705345502,28.943396226415093
25,203952,Andrew Wiggins,1610612748,MIA,54,24,30,1664.0,652118,123.5,66.1,57.4,4.17,4.52,3.82,1.0629629629629629,1.2240740740740739,0.8683812405446294,0.03449519230769231,0.03972355769230769,30.814814814814813
26,1629014,Anfernee Simons,1610612757,POR,67,28,39,2190.0,881830,167.0,90.6,76.4,4.28,4.69,3.88,1.1402985074626866,1.3522388059701491,0.8432671081677705,0.03488584474885845,0.041369863013698625,32.6865671641791
27,1641710,Anthony Black,1610612753,ORL,66,30,36,1572.0,614990,116.5,61.8,54.7,4.11,4.22,3.99,0.8287878787878789,0.9363636363636363,0.8851132686084143,0.03479643765903308,0.03931297709923664,23.818181818181817
28,203076,Anthony Davis,1610612742,DAL,43,25,18,1470.0,518927,98.3,51.7,46.6,3.76,3.92,3.59,1.083720930232558,1.2023255813953488,0.9013539651837524,0.031700680272108844,0.035170068027210885,34.18604651162791
