Player	Team	GP	MIN	W	L	STL	BLK	DREB	DFGM	DFGA	DFG%
A.J. Lawson	TOR	14	17.5	8	6	0.2	0.1	2.5	0.7	0.8	90.9
AJ Green	MIL	62	22.4	37	25	0.5	0.1	2.0	1.4	1.9	73.5
AJ Johnson	WAS	17	13.5	5	12	0.4	0.1	1.4	1.4	2.0	70.6
Aaron Gordon	DEN	43	27.6	28	15	0.5	0.2	3.3	2.0	2.9	66.7
Aaron Holiday	HOU	52	12.4	32	20	0.3	0.2	1.0	0.7	1.0	64.8
Aaron Nesmith	IND	33	24.8	20	13	0.7	0.4	3.1	1.5	2.6	55.8
Aaron Wiggins	OKC	69	22.7	57	12	0.8	0.3	2.7	1.8	2.6	67.6
Adam Flagler	OKC	28	4.7	25	3	0.3	0.1	0.4	0.2	0.3	85.7
Adama Sanogo	CHI	4	5.4	2	2	0.0	0.0	0.3	0.8	1.8	42.9
Adem Bona	PHI	47	12.5	11	36	0.3	0.9	2.0	1.7	2.8	61.4
Ajay Mitchell	OKC	34	16.5	29	5	0.7	0.1	1.5	0.8	1.1	75.0
Al Horford	BOS	54	27.4	38	16	0.6	0.9	4.6	2.3	3.5	65.3
Alec Burks	MIA	39	17.0	19	20	0.6	0.2	2.2	0.9	1.3	65.4
Alex Caruso	OKC	45	19.3	37	8	1.6	0.6	2.1	0.8	1.7	49.4
Alex Ducas	OKC	19	5.1	18	1	0.3	0.0	0.7	0.3	0.4	85.7
Alex Len	LAL	44	8.2	20	24	0.2	0.5	1.2	1.0	1.5	63.6
Alex Reese	PHI	11	14.7	3	8	0.7	0.7	2.4	1.7	3.1	55.9
Alex Sarr	WAS	54	26.9	9	45	0.7	1.5	4.6	5.3	8.5	62.4
Alondes Williams	DET	1	3.7	0	1	0.0	0.0	0.0	0.0	0.0	0.0
Alperen Sengun	HOU	67	31.5	45	22	1.1	0.8	7.1	4.1	7.0	59.4
Amen Thompson	HOU	61	32.5	37	24	1.4	1.3	5.5	1.8	3.1	57.2
Amir Coffey	LAC	68	24.7	39	29	0.6	0.1	1.8	1.3	1.7	73.9
Andre Drummond	PHI	40	18.8	12	28	1.0	0.5	5.0	2.3	3.3	70.2
Andre Jackson Jr.	MIL	60	15.2	34	26	0.6	0.2	1.9	0.9	1.3	67.1
Andrew Nembhard	IND	53	28.9	35	18	1.2	0.2	2.6	1.5	2.2	67.2
Andrew Wiggins	MIA	54	30.8	24	30	1.0	0.8	3.0	1.7	2.7	62.1
Anfernee Simons	POR	67	32.7	28	39	0.9	0.1	2.4	1.9	2.4	76.7
Anthony Black	ORL	66	23.8	30	36	1.0	0.5	2.2	1.5	2.1	71.5
Anthony Davis	DAL	43	34.2	25	18	1.3	2.2	9.1	3.5	6.2	56.3
Anthony Edwards	MIN	69	36.3	40	29	1.1	0.6	5.0	1.8	2.6	67.6
Anthony Gill	WAS	46	6.8	6	40	0.2	0.0	0.8	0.2	0.4	64.7
Anton Watson	NYK	5	2.7	3	2	0.0	0.0	0.2	0.4	0.4	100
Antonio Reeves	NOP	34	10.5	4	30	0.4	0.1	0.6	0.6	0.8	74.1
Ariel Hukporti	NYK	25	8.7	17	8	0.0	0.6	1.5	1.3	2.4	54.2
Armel Traoré	LAL	9	7.4	5	4	0.4	0.2	1.4	0.7	1.2	54.5
Ausar Thompson	DET	49	21.4	30	19	1.7	0.5	3.0	0.9	1.5	63.0
Austin Reaves	LAL	61	34.5	39	22	1.1	0.3	3.7	2.5	3.2	75.8
Ayo Dosunmu	CHI	46	30.3	17	29	0.9	0.4	2.9	1.7	2.6	63.9
Bam Adebayo	MIA	68	34.4	30	38	1.3	0.7	7.3	3.1	4.3	71.6
Baylor Scheierman	BOS	20	9.6	18	2	0.4	0.1	1.3	0.6	0.8	80.0
Ben Sheppard	IND	55	20.1	35	20	0.6	0.2	2.2	0.9	1.3	68.9
Ben Simmons	LAC	43	23.3	19	24	0.8	0.5	4.0	1.3	1.9	68.3
Bennedict Mathurin	IND	63	30.2	37	26	0.6	0.4	4.2	2.5	3.6	68.4
