PLAYER	TEAM	GP	W	L	MIN	DREB	ContestedDreb	ContestedDREB%	DREBChances	DREBChance%	DeferredDREBChances	AdjustedDREBChance%	AVGDREBDistance
A.J. Lawson	TOR	11	6	5	20.4	3.2	0.5	17.1	4.3	74.5	0.4	81.4	7.3
AJ Green	MIL	54	33	21	23.6	2.3	0.3	11.3	4.0	57.1	0.3	61.1	8.2
AJ Johnson	WAS	12	3	9	17.4	1.9	0.3	17.4	3.9	48.9	0.5	56.1	7.5
Aaron Gordon	DEN	41	26	15	28.3	3.5	1.0	27.3	5.0	69.1	0.3	73.3	6.6
Aaron Holiday	HOU	34	21	13	14.3	1.5	0.3	17.3	2.6	59.8	0.2	65.0	8.6
Aaron Nesmith	IND	31	20	11	25.4	3.3	0.6	18.4	6.2	53.9	0.6	59.5	7.2
Aaron Wiggins	OKC	65	53	12	23.4	2.8	0.8	27.0	5.1	55.6	0.6	63.1	6.4
Adam Flagler	OKC	10	9	1	7.2	1.1	0.1	9.1	1.7	64.7	0.2	73.3	10.8
Adama Sanogo	CHI	3	2	1	7.0	0.3	0.0	0.0	1.0	33.3	0.3	50.0	20.1
Adem Bona	PHI	39	10	29	14.3	2.4	0.7	27.4	5.2	47.0	0.7	54.0	4.5
Ajay Mitchell	OKC	28	25	3	17.0	1.8	0.4	22.0	2.6	68.5	0.1	72.5	9.4
Al Horford	BOS	53	37	16	27.3	4.6	1.3	27.9	7.2	63.7	0.6	69.3	6.6
Alec Burks	MIA	30	15	15	19.2	2.9	0.7	24.1	4.6	63.5	0.4	69.6	6.4
Alex Caruso	OKC	42	35	7	19.7	2.2	0.7	32.3	4.3	51.4	0.3	55.7	8.8
Alex Ducas	OKC	8	8	0	7.3	1.6	0.6	38.5	2.3	72.2	0.0	72.2	8.2
Alex Len	LAL	34	18	16	9.6	1.6	0.6	38.9	2.8	56.3	0.4	65.9	4.8
Alex Reese	PHI	10	3	7	15.7	2.6	0.6	23.1	5.5	47.3	0.6	53.1	3.7
Alex Sarr	WAS	54	9	45	26.9	4.6	1.4	31.3	8.6	53.9	1.2	62.4	5.1
Alperen Sengun	HOU	67	45	22	31.5	7.1	2.1	29.4	11.6	61.4	1.1	67.7	4.5
Amen Thompson	HOU	61	37	24	32.5	5.5	1.1	20.7	8.5	65.1	0.8	72.2	6.2
Amir Coffey	LAC	61	36	25	24.5	2.0	0.4	19.5	3.6	56.7	0.2	60.9	7.8
